 | He scrambled out of the broken car, adrenaline coursing through his veins. 
Shut up and get in! | He got into the passenger seat and shut up, glancing around warily.
Pay the cashier! | She paid for her coffee and waited patiently at the counter for her change.
Keep your hands where I can see them! | The man lifted his hands high above his head, trembling as he complied with the officer's command.
Get your mother to sign the form! | She raced back to her house and pleaded with her mother to sign the permission slip for the school field trip.
Don't look now, but... | Turn around and look. You see him? He's been spying on us from the window across the street. 
Look behind you. | She immediately spun around, her eyes darting across the shadowy room in search of the source of the voice. 
Get to the door.  | He dropped his mug and bolted to the front door, careful to avoid the shattered pieces of pottery as he went. 
Pull the book from the shelf. | She reached up and grasped the old tome, feeling its weight as she carefully tugged it free from the dusty shelves. 
Start reading.  | She began to flip through the pages, scanning the dense paragraphs in search of an explanation for this mysterious book. 
Continue to the end.  | She turned the last page, her eyes lingering on the final words before closing the book with a snap.
Take a seat.  | He let himself fall into a nearby armchair, its worn fabric barely registering the loud crump as he landed. 
Stay quiet. | He held his breath and waited, the only sound that of his own quickening heartbeat. 
Listen carefully.  | She tilted her head to the side, the sound of rustling coming from the corner of the room.
Don't move.  | Her body froze, save for the rapid pulsing of her heartbeat, as she strained her eyes to make out any signs of movement in the darkness.
Look them in the eye.  | She met their gaze, her own icy stare a mixture of determination and fear as she tried to size up her opponent.
Don't say a word.  | Not a single sound escaped her parted lips as she stood there, her entire body rigid with suspense.
Get out of there.  | With her last ounce of strength, she pushed herself off the floor and sprinted toward the open window, no longer concerned with being quiet. 
Don't look back.  | She didn't dare turn around, her focus solely on the woods ahead as she crashed through the underbrush, the sounds of pursuit falling further behind her with each stride. 
Keep running.  | The blood pounded in her ears as she ran, the ground a blur beneath her feet as she fled the horrors of the night. 
The command | Sprint to the phone booth!
The ensuing sentence | She grabbed her bag and ran out the door, frantically making her way through the busy street, weaving in and out of traffic as she focused on the distant phone booth."
Go to sleep | From a story about a person who has problems sleeping, they are told to sleep as their psychiatrist has just prescribed them sleeping pills.) 
Say hi | From a story about a socially anxious person at a party full of people they don't know.) 
Open the door | From a horror story, where the main character hears a noise in the middle of the night.) 
Go check the kitchen  | She got up from the couch and walked to the kitchen, checking every drawer and shelf, before she realized the kitchen sink was dripping again. 
Find my phone  | The ringing phone in the bedroom went unanswered.
Call Dr | Marshall. 
Open the box  | The old woman couldn't remember why she had felt it important to hide the box in the first place.
Read the report  | The team was in a state of unrest. They argued they were better off without it, but she calmly stated, "We should read the report before we make any rash decisions."
Look under the bed  | His face went white as he spied a large snake under the bed. 
Show me your gun  | The gun in question had been in his desk for years, but the client had never known he had it.
Look for the missing files  | You need to stop focusing on the angry emails and start looking for the files," the boss reminded her, "we'll be lucky if they don't sue us." 
Think of a plan  | First, we need a plan," you say. "We can start by figuring out where they're most vulnerable." 
Ask for forgiveness, not permission  | In the heat of the moment, I told him to take the new project head-on, realizing too late I should have told him to ask permission first. 
Report back to me  | If you're going to survive this," I told him, "report back to me every hour, on the hour." 
Start the press conference  | She quickly tried to pull herself together before she stepped in front of the reporters, the sound of the clicks of cameras was almost deafening.
Take the shot  | He adjusted his scope, took a deep breath, and gently pulled the trigger. 
Talk to the witness  | The witness is in the parking lot, waiting for you."
Ignore her  | She told me to ignore her, but I found that she always had a way of getting under my skin.
Stay at the police station  | The lawyer had told them that the police had enough evidence to detain him for 24 hours and that they would likely be able to extend that time.
Tell me the truth  | I've had enough of your lies," I screamed. "Just tell me the truth!"
Show me that you care  | She left the room with a scathing remark about how he was too self-absorbed to care about the lives of others.
Stop the car  | The driver slammed on the brakes, causing the passengers to brace themselves, before shouting that he'd been hit.
Go forward!  | He ran forward, navigating the maze of destroyed buildings, desperately searching for any sign of life.
Look up!  | She raised her head, scanning the rows of towering skyscrapers, finally spotting the flashing lights of a helicopter above.
Listen!  | He stood still, holding his breath, as he strained to hear the faint sound of the escaping creature over the pouring rain.
Push it!  | He grunted with effort, using all his strength to shove the heavy table against the door, trying to barricade himself in.
Pull the trigger!  | Her finger tightened on the trigger, as she released a spray of gunfire, aiming at the threat looming just a few feet away.
Open it!  | She fumbled with the large brass key, her hands shaking, and then turned the handle, stepping back as the ornate wardrobe creaked open.
Hide!  | He ducked behind the car, crouching low to the ground, trying to blend in with the shadows as the bright headlights approached.
Speak to her!  | His voice cracked as he approached the pretty blonde at the bar, asking her if she wanted to get out of here, a tremor of nervousness in his words.
Start the car!  | He turned the key in the ignition, the old engine sputtering to life, and he carefully pressed the gas pedal, easing the vehicle out of the parking spot.
Open the envelope!  | She ripped open the letter, her heart pounding as she scanned the contents, revelation washing over her face.
Take a picture!  | He aimed his phone at the billboard, taking a quick snapshot, and then immediately looked at the image, verifying that it was clear and readable.
Step away!  | She cautiously moved away from the exposed ledge, her body tensing up as she stepped back onto solid ground, her eyes closed in relief.
Close the curtains!  | He rushed over to the window, his heart still pounding from the scare, and shut the curtains, blocking out the menacing gaze of the stranger outside.
Dial the number!  | She tapped the number on her phone screen, holding the device to her ear, and listened as it rang, wondering if he was going to pick up this time.
Push the button!  | He held his breath as he pressed the large red button on the machine, and then jumped back, as a cloud of smoke started to billow around him.
Take the pill!  | She lifted the small pill to her mouth, trying to swallow it without water, as she desperately hoped it would help ease her pain.
Open the door!  | The door swung open, almost knocking him off his feet, and he stumbled into the brightly lit room, his eyes struggling to adjust to the light.
Pull the lever!  | He yanked the lever hard, feeling the gears shift beneath his hands, and then jumped back as the mechanism started to move with a loud grinding noise.
Drop the weapon!  | He let go of the gun, feeling his muscles relax as the weapon clattered to the floor, and he raised his hands in the air, realizing the fight was over.
Say goodbye!  | She stared at the empty chair across from her, tears streaming down her face, as she whispered a final goodbye to the loved one she would never see again.
Look behind you | Command)
Get back in | Command)
Stay quiet | Command)
Don't stop | Command)
Push harder | Command)
Look closer | Command)
Don't answer that | Command)
Come closer | Command)
Open it | Command)
Try again | Command)
Keep talking | Command)
Try the door | Command)
Help him | Command)
Say it | Command)
Time to go | Command)
Don't wait | Command)
It's him | Command)
Knock it down | Command)
Push the button | Command)
Let me in | Command)
Go check out the car  | They nodded and started walking towards the car.
Keep walking, don't run  | She continued down the dark alleyway, sticking to a steady pace.
Knock on the door  | He knocked on the door three times and waited.
Come in, I'm not busy  | She walked into his office, closing the door behind her.
Open the present  | The child carefully tore the paper wrapping off the present and lifted the lid of the box.
Don't be afraid  | He took a deep breath and pushed the fear aside as he stepped up to the mic.
Help her out  | She took his hand and pulled him up from the muddy ground.
Take your time  | He slowed down the car and turned on the hazard lights.
Get the papers signed  | She took the documents from her briefcase and handed them to the client, readying her pen.
Call for help  | He pulled out his phone and dialed 911.
Ask for forgiveness  | She dropped to her knees and looked up, tears streaming down her face.
Walk away  | I turned and stormed out of the room, the argument unfinished.
Let's get this done  | They huddled together and dove into their work.
Drop your weapon  | The cop pointed his gun at the suspect and ordered him to comply.
Pick up the pace  | He checked his watch and then quickened his step, trying to stay on schedule.
Don't be shy  | She smiled at him and held out her hand, introducing herself.
Turn it on  | He flipped the switch and watched the machine whirr to life.
Look out the window  | He glanced out the window, the beautiful landscape stretching out before him.
go forward  | She took a step forward, her heart racing as the dimly lit corridor seemed to stretch on forever.
open the door  | The door swung open, revealing a dimly lit room that had been locked for years. 
say the truth  | I'm not lying, I am just not comfortable with this conversation," he replied, averting eye contact. 
accept the gift  | She reluctantly accepted the small box, a curious expression on her face as she peered inside to find a black ring with a large red stone. 
make a decision  | It had been minutes since she had frozen, unable to decide what flavour of ice cream to order. 
pay attention  | He scanned the area, his eyes darting across every inch of the small space, looking for any sign of danger. 
try again  | Determined, she pulled out her laptop and reopened her presentation, vowing to practice every slide until she was satisfied with her delivery. 
tell a friend  | You have to tell someone," she whispered into her phone, her eyes darting around the silent house.
touch the object  | Her eyes widened in disbelief as she felt a tingle rush through her, and the mirror began to glow.
turn on the flashlight  | Her flashlight flickered on, illuminating the dirty walls and partially collapsed ceiling of the abandoned mine shaft.
follow the path  | She pushed through the dense foliage, the path that much clearer now that she was aware of the small red dots leading the way.
ask a question  | Does this mean I'm going to jail?" he asked, rubbing his temples and pacing the room. 
switch on the engine  | With a soft whirr, the engine of the spaceship roared to life, shaking the entire vessel. 
take a breath  | She inhaled deeply, holding the air in her lungs as she slowly lowered herself into the icy water.
ignore them  | She sat at her desk, focused on her work, ignoring the whispers and stares of her classmates. 
try again tomorrow  | It's too late anyway," he said, hanging his head and trudging back to his tent, deciding to try again in the morning.
use your authority  | I am the captain of this vessel, and I'm ordering you to reverse course now," she bellowed, slamming her hand on the dashboard.
give up  | She slumped against the wall, the tears flowing as she admitted defeat, her exhaustion overwhelming her will to continue.
use the item  | She grabbed the remote and pressed the power button, smiling as the familiar tune of the sitcom she loved filled the room. 
make a promise  | He looked into her eyes and promised, "I'll be back before dawn, and I'll have the medicine we need."
Go on ahead | She took a deep breath and cautiously walked through the dense forest, her gun raised, every nerve on high alert.
Take the book | He reached out and grabbed the old leather-bound book, its edges worn by time and fingers.
Talk to the stranger | Excuse me," she began, her voice shaking slightly, "but who are you and what are you doing here?"
Open the door | The creaking of the hinges echoed through the empty house, a cold breeze washing over him as he stepped inside.
Eat the apple | She took a bite of the juicy red fruit, the crispness exploding with a burst of tart flavor on her taste buds.
Get the mail | His hands trembled as he opened the letter, his eyes scanning the words that would change his life forever.
Follow the map | They ventured into the uncharted wilderness, their map leading them deeper into the dense jungle.
Use the key | The key slid effortlessly into the lock, a soft click signaling that it was time to open the mysterious door.
Send the email | Her finger hovered over the send button, anxiety flooding through her as she considered the consequences of her actions.
Check the pockets | They were empty, save for a crumpled receipt and a loose penny, the belongings providing no valuable clues.
Take a breath | She paused for a moment, inhaling deeply the crisp mountain air, the breathtaking view momentarily distracting her from the task at hand.
Step outside | We need some fresh air," he said, pulling her away from the computer screen and towards the open balcony, the cool breeze a welcome relief.
Get in the car | He started the engine, the sound echoing through the empty parking lot, the destination uncertain.
Open the present | Her hands trembled as she carefully tore the festive wrapping paper, revealing a small, unassuming box with a simple gold bow.
Knock on the door | A moment passed before the door opened a crack, the person on the other side hesitant to reveal themselves.
Look in the mirror | Her reflection stared back at her, eyes wide with fear and confusion, the uncertainty of the future written across her face.
Show the ID | Sorry sir, could you please show me some identification?" The guard scrutinized the passport before nodding and gesturing towards the gate.
Look down | Her eyes widened with horror as she spotted the tiny creature perched on her shoe, its fluffy exterior masking its dangerous venom.
Check the settings | He scrolled through the menu, double-checking that everything was in order, the anticipation in the room growing with each passing second.
Get ready | She took a deep breath and squared her shoulders, a look of determination crossing her face, as she prepared for whatever may come.
Continue pushing through the blizzard | As night approached, the stranded motorist furiously shoveled the heavy snow to make the car more visible to passing vehicles. 
Break into the abandoned house | Mike hesitated for a moment before forcing the locked door open, his heart pounding in his chest as he stepped cautiously into the dimly lit space.
Look inside the bag | With a deep breath, Maria slowly opened the mysterious duffel bag, her heart racing as she wondered what secrets it held.
Rescue the kidnapped child | In a swift and calculated move, the Special Forces team swooped in, overpowering the captors and securing the frightened child's safe return.
Unlock the basement door | It was a creepy old house, but after months of investigation, John had finally gathered the courage to confront the dark secrets locked away within its basement. 
Piece together the enigmatic message | It was a frustratingly incomplete puzzle, but the cryptographer was determined to decipher the message, knowing that it held critical intelligence.
Take a peek | You notice some kind of a vent above you.
Duck into the abandoned building | It's very quiet inside.
Stay close to the others | You will need to be close together if you want to survive.
Read the file | It seems like someone has tampered with the evidence.
Check the rearview mirror | The black SUV has been following us for a while.
Step onto the path | Keep walking. The mist seems to be lifting.
Just keep swimming | Don't stop, no matter how tired you are.
Turn off the alarm system | He heard the warning bells in his head, but his resolve was resolute.
Open the briefcase | It seems to be filled with stacks of cash.
Sit on the bed | You feel comforted knowing that the doctors are here to help.
Approach the old man slowly | Ask him about the artifact.
Go outside  | The man finished his dinner, pushed away from the table, and walked outside to face the darkness, the cold night air biting at his face. 
Open the door  | With her heart pounding in her chest, the girl reached out and turned the doorknob, stepping into the dimly lit room with a feeling of trepidation. 
Don't look back  | As the stranger spoke to him, his eyes darted around the room, searching for any sign of escape. He knew he couldn't look back, but his mind raced with fear. 
Go to the window  | Jack squinted through the dusty window, scanning the arid landscape for any signs of life. The hot desert sun beating down made it hard to see clearly. 
Check the instructions  | They had just arrived at the cabin and were eager to get settled in. As he searched for the power outlets, he also noticed the manual for the cabin sitting on the table and decided to pick it up to make sure everything was going to be fine. 
Use your key  | He always kept his keychain on him. It had all his important keys and he never lost them. Today, though, he wasn't going to use it for his apartment. 
Knock on the door  | She knew she was early, but her friend lived on the other side of the country, so she had to make sure she didn't miss her. She knocked on the door and patiently waited for a response. 
Explain yourself  | He knew that his reasons for doing what he did would not sit well with the court, but he had no other choice. He could feel the noose tightening around his neck as he stood before the judge, waiting for him to speak. 
Open the container  | You've seen the items in the box before, but not like this. Carefully, with trembling hands, you open the box, revealing a sight unlike any you've seen before. 
Find cover  | She couldn't hear anything over the loud rumbling in the distance, but she could feel the ground shaking. As the trees began to fall around her, she knew she had to find cover. 
Look in the mirror  | She could feel the cold sweat on her brow as she stared at the cracked mirror in front of her. The face she saw there looked terrifying, but she couldn't look away. 
Keep talking  | He hated talking in front of crowds. As he took the stage and heard the crowd erupt into applause, he felt his palms begin to sweat. But he had to keep talking, no matter what. 
Pull the cord  | The instruction manual said to pull the cord in case of emergency. He wasn't sure if this qualified as an emergency, but it was his only option. He pulled the cord, hoping that someone would hear it. 
Enter the room  | The room was dark, with only a sliver of moonlight peeking through the small window. She could hear soft breathing from inside. With a deep breath, she opened the door and stepped into the room. 
Climb the tree  | The tree looked like it would provide the perfect cover for the two of them. With a grunt, he hoisted himself up and settled into the branches, the damp earth and fallen leaves raining down on him from above.
Open your present  | It was Christmas morning, and she had just received a beautifully wrapped gift from her best friend. She carefully tore the wrapping paper, opened the box within, and stared at the sparkling jewelry within. 
Speak up  | They had been waiting for their turn to speak for what felt like an eternity, but the ongoing discussion about the project had been useful. He knew that his opinion mattered, so he stood up, ready to finally speak. 
Start the car  | It was time to get going, but the old car was not cooperating. After several tries, he got into the driver's seat, turned the key in the ignition, and hoped for the best. 
Look up  | She was always looking down, always buried in her work. But today, as she looked up from her desk, she saw the worried expressions on her colleagues' faces and realized that she had to be more careful. 
Drop the weapon  | He had been wielding the knife for what felt like hours, but the fight was far from over. The man on the ground groaned, his eyes fluttering open. He looked at the bloodied knife in his hand and felt the adrenaline coursing through his veins. 
Wake her up | You shake your sister awake. She's grumpy and groggy, but she sits up on the bed.
Show him your new trick | You roll up your sleeve and show your dad the new magic trick you've been practicing. You're a little nervous, but he's paying attention.
